12/1/2020,0.9645,0.2491,0.1958,1.5586,0.1652,0.01739,0.000091,0.01234,,0.06418,0.9085,0.1471,0.3556,0.01729,0.3414,0.9611,0.086,0.00117,0.1532,1.4417,0.0454,,0.1661,1.7209,1.2808,
1/1/2021,0.9826,0.2376,0.1967,1.5484,0.1641,0.0174,0.000091,0.01226,,0.06388,0.9151,0.1495,0.351,0.0171,0.3392,0.9596,0.08407,0.001157,0.1534,1.4347,0.04544,,0.172,1.7352,1.2724,
2/1/2021,0.9844,0.2346,0.1966,1.5356,0.1638,0.01744,0.00009,0.01205,,0.06248,0.9197,0.1492,0.3484,0.01706,0.3386,0.9562,0.08587,0.001142,0.1522,1.414,0.04543,,0.1789,1.7605,1.2699,
3/1/2021,0.9691,0.223,0.1931,1.4962,0.1619,0.01727,0.000087,0.01156,,0.06057,0.897,0.1476,0.3391,0.01688,0.3352,0.9366,0.08397,0.001112,0.1472,1.3522,0.04448,,0.164,1.7427,1.2574,
4/1/2021,0.9627,0.2247,0.1917,1.4963,0.1608,0.01675,0.000086,0.01147,,0.06236,0.8912,0.149,0.338,0.01643,0.3332,0.9368,0.08676,0.001118,0.1472,1.3566,0.04427,,0.1529,1.7298,1.2496,
5/1/2021,0.9413,0.2292,0.1886,1.4729,0.1562,0.01657,0.000085,0.01111,,0.06071,0.8764,0.146,0.3215,0.01639,0.3233,0.9121,0.08633,0.00108,0.1452,1.3431,0.04347,,0.1446,1.7078,1.2126,
6/1/2021,0.9338,0.2428,0.1902,1.4719,0.1574,0.01661,0.000085,0.0111,,0.06103,0.8681,0.1451,0.3127,0.01683,0.3258,0.9163,0.08781,0.001088,0.1455,1.3457,0.04398,,0.1417,1.7135,1.2219,
7/1/2021,0.9294,0.2425,0.1935,1.4812,0.1612,0.01681,0.000087,0.01137,,0.06274,0.8747,0.1425,0.3178,0.01693,0.334,0.9243,0.0862,0.001093,0.1452,1.3657,0.04475,,0.1458,1.7303,1.2529,
8/1/2021,0.9201,0.2398,0.1946,1.4826,0.1619,0.01701,0.000088,0.01147,,0.06274,0.8793,0.1424,0.3083,0.01712,0.3361,0.9302,0.08524,0.001085,0.1451,1.3775,0.04523,,0.1486,1.7384,1.2603,
9/1/2021,0.9271,0.2402,0.1962,1.4919,0.1629,0.01721,0.000089,0.01151,,0.06328,0.8947,0.1464,0.3085,0.01738,0.3379,0.9403,0.087,0.00108,0.1467,1.3737,0.04571,,0.1481,1.7413,1.2671,
10/1/2021,0.9215,0.2246,0.1937,1.4428,0.1599,0.0166,0.000088,0.011,,0.06084,0.8781,0.1471,0.3096,0.01745,0.3316,0.9207,0.08375,0.001053,0.1436,1.348,0.04453,,0.135,1.7037,1.2437,
11/1/2021,0.9178,0.2258,0.1967,1.4336,0.1614,0.01688,0.000088,0.01102,,0.06016,0.8813,0.1437,0.3128,0.01723,0.3351,0.926,0.08084,0.001061,0.1426,1.3631,0.04519,,0.1174,1.6913,1.257,
12/1/2021,0.9156,0.2263,0.2009,1.4462,0.1641,0.01697,0.000089,0.01124,,0.0612,0.8685,0.1425,0.3162,0.01731,0.3409,0.9385,0.08047,0.001081,0.1408,1.3895,0.04609,,0.0939,1.7024,1.2794,
1/1/2022,0.9055,0.2284,0.1985,1.4281,0.1619,0.01695,0.000088,0.01099,,0.06155,0.8503,0.1427,0.3249,0.01645,0.3362,0.9341,0.08159,0.001055,0.1379,1.3726,0.04559,,0.093,1.7106,1.2616,
2/1/2022,0.9113,0.2447,0.2004,1.4426,0.163,0.01696,0.000089,0.01103,,0.06213,0.849,0.1436,0.335,0.01626,0.3389,0.9442,0.08351,0.001061,0.1369,1.378,0.04561,,0.0932,1.7211,1.2716,
3/1/2022,0.9334,0.2544,0.1995,1.3947,0.1618,0.01661,0.000088,0.01068,,0.06163,0.8692,0.1433,0.3384,0.01188,0.3374,0.9316,0.0846,0.001037,0.1323,1.3616,0.04453,,0.0866,1.6669,1.2658,
4/1/2022,0.9301,0.2659,0.1963,1.3644,0.161,0.01657,0.000088,0.00999,,0.06287,0.8532,0.1417,0.3379,0.01587,0.3367,0.9241,0.08394,0.001021,0.1322,1.3365,0.04338,,0.0858,1.6324,1.2628,
5/1/2022,0.9057,0.2592,0.1918,1.3588,0.1637,0.01663,0.000088,0.00998,,0.06414,0.8223,0.1339,0.342,0.0198,0.3426,0.9295,0.08082,0.001014,0.1294,1.3116,0.04345,,0.0825,1.5988,1.2852,
6/1/2022,0.8998,0.2539,0.1914,1.3537,0.1633,0.01641,0.000087,0.00956,,0.06404,0.8136,0.1314,0.3418,0.0224,0.3415,0.9256,0.08098,0.001002,0.1276,1.3216,0.04326,,0.0755,1.5781,1.2814,
7/1/2022,0.8873,0.241,0.1921,1.3157,0.1649,0.01626,0.000087,0.00946,,0.06298,0.8017,0.1293,0.3312,0.02177,0.3446,0.9272,0.07671,0.000989,0.1246,1.3339,0.04331,,0.074,1.551,1.2942,
8/1/2022,0.8988,0.2512,0.19,1.3078,0.1647,0.01625,0.000087,0.00955,,0.06424,0.8091,0.133,0.3337,0.0213,0.3439,0.9333,0.07734,0.000978,0.1244,1.3493,0.04292,,0.0716,1.5465,1.2922,
9/1/2022,0.8896,0.2546,0.1898,1.3185,0.1697,0.0166,0.000089,0.0093,,0.06635,0.7896,0.1297,0.3421,0.02224,0.3542,0.9421,0.07575,0.000955,0.1222,1.369,0.04263,,0.0727,1.5075,1.3319,
10/1/2022,0.8716,0.2607,0.1904,1.3485,0.1745,0.01664,0.000089,0.00931,,0.06854,0.7803,0.1298,0.3442,0.02222,0.3645,0.9624,0.07561,0.00096,0.1232,1.3758,0.04285,,0.0737,1.5502,1.37,
11/1/2022,0.8879,0.2552,0.1874,1.3719,0.1718,0.01646,0.000086,0.00946,,0.06914,0.8162,0.1327,0.3465,0.02202,0.3578,0.9699,0.077,0.000991,0.126,1.394,0.04282,,0.0723,1.5795,1.3449,
12/1/2022,0.9172,0.259,0.1949,1.4389,0.1746,0.01648,0.000087,0.01007,,0.06927,0.8641,0.1375,0.3547,0.02057,0.3615,1.0052,0.07862,0.001049,0.131,1.4586,0.04431,,0.0729,1.6562,1.3592,
1/1/2023,0.9334,0.2587,0.1977,1.4468,0.1716,0.01642,0.000088,0.0103,,0.07081,0.8591,0.1349,0.3502,0.01921,0.3574,1.0132,0.07848,0.00108,0.1291,1.452,0.04418,,0.0714,1.6421,1.3422,
2/1/2023,0.9275,0.2599,0.1967,1.4398,0.1714,0.01628,0.000089,0.01011,,0.0722,0.8461,0.1314,0.3503,0.01831,0.3585,1.0099,0.07515,0.001053,0.1287,1.453,0.04446,,0.0714,1.6257,1.345,
3/1/2023,0.9133,0.2627,0.1985,1.4654,0.1743,0.01663,0.000089,0.01024,,0.07437,0.8493,0.1299,0.362,0.01793,0.3644,1.0206,0.07491,0.001048,0.1305,1.4785,0.04479,,0.072,1.6609,1.3682,
4/1/2023,0.9022,0.2687,0.1957,1.4788,0.1718,0.01645,0.000091,0.0101,,0.07455,0.8371,0.1284,0.3581,0.0166,0.3595,1.0125,0.07414,0.001019,0.1304,1.5017,0.0441,,0.0697,1.6785,1.3485,
5/1/2023,0.8978,0.2714,0.1935,1.469,0.1725,0.01643,0.000091,0.00986,,0.07623,0.8389,0.1251,0.3665,0.01708,0.3605,1.0092,0.07103,0.001017,0.1292,1.5062,0.04398,,0.0684,1.6873,1.352,
6/1/2023,0.8923,0.2739,0.1855,1.4409,0.1697,0.01617,0.000089,0.0094,,0.07708,0.8151,0.1231,0.3641,0.01587,0.3543,0.9871,0.07099,0.001025,0.1234,1.4761,0.04308,,0.0562,1.6785,1.3288,
7/1/2023,0.8907,0.2753,0.1839,1.462,0.1691,0.01608,0.000088,0.00938,,0.0782,0.8236,0.1291,0.367,0.01457,0.3523,0.9911,0.07286,0.001031,0.1259,1.5148,0.04234,,0.0499,1.7036,1.3215,
8/1/2023,0.874,0.2751,0.1859,1.4705,0.1723,0.01628,0.000088,0.0093,,0.07945,0.8077,0.1287,0.3649,0.01412,0.3595,0.998,0.07182,0.001019,0.1244,1.5346,0.04236,,0.0501,1.7128,1.3485,
9/1/2023,0.8693,0.2739,0.1854,1.4443,0.1729,0.01629,0.000088,0.00915,,0.0782,0.8024,0.1262,0.3628,0.014,0.3609,0.9924,0.07134,0.001014,0.1221,1.5045,0.04223,,0.0501,1.6757,1.3535,
10/1/2023,0.8703,0.2712,0.1877,1.4493,0.1753,0.01649,0.000087,0.00917,,0.07582,0.8078,0.1243,0.3566,0.01419,0.3657,1.0019,0.07212,0.001015,0.1244,1.5191,0.04246,,0.0492,1.6695,1.3717,
11/1/2023,0.8919,0.2799,0.1899,1.4833,0.1756,0.01646,0.000088,0.00916,,0.07895,0.823,0.1258,0.364,0.01517,0.3655,1.0173,0.07397,0.00105,0.1285,1.5401,0.04302,,0.0478,1.7046,1.3709,
12/1/2023,0.8977,0.274,0.1881,1.4644,0.172,0.01613,0.000087,0.00932,,0.07807,0.8346,0.1271,0.3594,0.01477,0.3581,1.0077,0.07207,0.001029,0.1308,1.5519,0.04293,,0.0462,1.6994,1.3431,
1/1/2024,0.891,0.2731,0.1872,1.4634,0.1717,0.01615,0.000086,0.00918,,0.07857,0.828,0.1289,0.3592,0.01501,0.358,1.0046,0.07139,0.001012,0.1296,1.5628,0.04299,,0.0446,1.7048,1.3425,
